date,time
2022-12-07,22.5167
2022-12-07,20.6167
2022-12-06,22.5333
2022-12-05,20.2000
2022-12-03,17.6167
2022-12-02,19.1000
2022-12-01,19.6833
2022-11-29,20.3167
2022-11-27,19.9333
2022-11-25,19.2000
2022-11-23,20.8500
2022-11-21,19.6333
2022-11-18,19.3333
2022-11-17,19.9500
2022-11-17,0.0667
2022-11-16,19.8167
2022-11-14,19.4333
2022-11-11,19.7000
